,Organization Name,IPO Status,Number of Founders,Company Type,CB Rank (Company),Operating Status,Industry Groups,Number of Employees,Estimated Revenue Range,Number of Exits,Number of Sub-Orgs,city,state,funding_status,revenue_range,no_employees,lat,lon,no_founders,industry,industry_groups,industry_groups_andreas,website,phone,email,linkedin,twitter,facebook,articles,founded_year,last_funding_year,exit_year,closed_year,no_investors,no_fund_rounds,acquired,private_ipo,company_type,operting_status,no_lead_investors,no_sub_orgs,no_exits,has_preseed,has_seed,has_series_a,has_series_b,has_series_c,has_series_d,has_series_e,has_angel,has_debt_financing,has_grant,has_corporate_round,has_series_x,has_ico,has_other_funding,preseed_fund,seed_fund,series_a_fund,series_b_fund,series_c_fund,series_d_fund,series_e_fund,private_equity_fund,seed_to_pre_ratio,a_to_seed_ratio,b_to_a_ratio,c_to_b_ratio,d_to_c_ratio,e_to_d_ratio,pe_to_e_ratio,total_funding_usd,last_funding_type,last_funding_amount,hub_tags,industry_multiples,company_valuation,months_since_founded,y
731,transactionlink,Private,1.0,For Profit,"9,378",Active,"Financial Services, Information Technology, Lending and Investments, Software",11-50,$1M to $10M,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,1.0,"['Financial Services', ' Information Technology', ' Lending and Investments', ' Software']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,0,1,1,0,0,30.0,2020,2023.0,,,3.0,2.0,0,1,1,1,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1200000.0,5000000.0,,,,,,,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,6735738.0,Seed,5311785.0,,3.5,23575083.0,45,1
733,goodcarbon,Private,,For Profit,"9,783",Active,"Information Technology, Sustainability",11-50,Less than $1M,,,Berlin, Berlin,Seed,Less than $1M,11-50,52.52,13.405,1.0,"['Information Technology', ' Sustainability']",Technology and Software,-1,1,0,1,1,0,0,6.0,2021,2024.0,,,5.0,2.0,0,1,1,1,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5000000.0,5250000.0,,,,,,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,10894263.0,Seed,5631542.0,,4.0,43577052.0,41,0
734,tanso,Private,4.0,For Profit,"9,807",Active,"Data and Analytics, Software, Sustainability",11-50,$1M to $10M,,,Munich, Bayern,Seed,$1M to $10M,11-50,48.1374,11.5755,4.0,"['Data and Analytics', ' Software', ' Sustainability']",Technology and Software,-1,1,1,1,1,1,0,2.0,2021,2023.0,,,5.0,3.0,0,1,1,1,3.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1900000.0,4000000.0,,,,,,,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,8933820.0,Seed,4380719.0,,4.0,35735280.0,41,0
735,friday finance,Private,2.0,For Profit,"9,874",Closed,"Financial Services, Lending and Investments, Payments, Software",51-100,$1M to $10M,,,Berlin, Berlin,M&A,$1M to $10M,51-100,52.52,13.405,2.0,"['Financial Services', ' Lending and Investments', ' Payments', ' Software']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,0,1,1,1,0,16.0,2021,2022.0,2023.0,2023.0,15.0,3.0,1,1,1,0,2.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,2500000.0,20000000.0,,,,,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22984098.0,Series A,20000000.0,,3.5,80444343.0,41,1
738,climatiq,Private,2.0,For Profit,"10,867",Active,"Software, Sustainability",11-50,,,,Berlin, Berlin,Seed,Less than $1M,11-50,52.52,13.405,2.0,"['Software', ' Sustainability']",Technology and Software,-1,1,0,1,1,1,0,13.0,2021,2022.0,,,3.0,2.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2000000.0,6000000.0,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7832899.0,Seed,5832899.0,,4.0,31331596.0,41,1
741,kipu quantum,Private,3.0,For Profit,"11,702",Active,Information Technology,11-50,$1M to $10M,,,Munich, Bayern,Seed,$1M to $10M,11-50,48.1374,11.5755,3.0,['Information Technology'],Technology and Software,-1,1,0,1,1,1,0,4.0,2021,2023.0,,,7.0,2.0,0,1,1,1,5.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3000000.0,10500000.0,,,,,,,3.5,0.0,0.0,0.0,0.0,0.0,0.0,14523677.0,Seed,11527428.0,,4.0,58094708.0,41,1
742,neocarbon,Private,,For Profit,"11,906",Active,"Professional Services, Sustainability",11-50,$1M to $10M,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,1.0,"['Professional Services', ' Sustainability']",Business Services,"['Administrative Services', 'Professional Services', 'Sales and Marketing']",1,0,1,1,0,0,7.0,2021,2023.0,,,10.0,3.0,0,1,1,1,3.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1250000.0,3200000.0,,,,,,,2.56,0.0,0.0,0.0,0.0,0.0,0.0,4812022.0,Seed,3455518.0,,3.5,16842077.0,41,1
743,visionai,Private,3.0,For Profit,"11,953",Active,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software",51-100,,,,Bielefeld, Nordrhein-Westfalen,Seed,$10M to $50M,51-100,52.0211,8.5347,3.0,"['Artificial Intelligence (AI)', ' Commerce and Shopping', ' Data and Analytics', ' Science and Engineering', ' Software']",Technology and Software,-1,1,1,1,1,0,0,10.0,2021,2023.0,,,11.0,3.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1050000.0,5000000.0,,,,,,,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,6707388.0,Seed,5299136.0,,4.0,26829552.0,40,1
745,mayd group,Private,2.0,For Profit,"12,264",Active,"Administrative Services, Health Care",51-100,,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,51-100,52.52,13.405,2.0,"['Administrative Services', ' Health Care']",Business Services,-1,1,0,0,1,0,0,0,2021,2022.0,,,6.0,2.0,0,1,1,1,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,13000000.0,30000000.0,,,,,,0.0,2.3076923076923075,0.0,0.0,0.0,0.0,0.0,48504433.0,Series A,33436913.0,,3.5,169765515.5,41,1
747,voltfang,Private,3.0,For Profit,"12,951",Active,"Energy, Sustainability",51-100,$10M to $50M,,,Aachen, Nordrhein-Westfalen,Seed,$10M to $50M,51-100,50.7753,6.0839,3.0,"['Energy', ' Sustainability']",Energy and Natural Resources,-1,1,0,1,1,0,1,21.0,2021,2023.0,,,11.0,5.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,250000.0,5000000.0,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5795348.0,Seed,5491464.0,,1.5,8693022.0,41,1
750,deepdrive,Private,2.0,For Profit,"13,997",Active,"Hardware, Science and Engineering, Software, Transportation",11-50,Less than $1M,,,München, Bayern,Early Stage Venture,Less than $1M,11-50,48.1374,11.5755,2.0,"['Hardware', ' Science and Engineering', ' Software', ' Transportation']",Hardware and Electronics,-1,1,1,1,1,0,0,4.0,2021,2023.0,,,6.0,2.0,0,1,1,1,3.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,4300000.0,15000000.0,,,,,,0.0,3.488372093023256,0.0,0.0,0.0,0.0,0.0,21021369.0,Series A,16159787.0,,4.0,84085476.0,37,1
751,zavvy,Private,2.0,For Profit,"14,335",Active,Information Technology,11-50,$1M to $10M,,,Munich, Bayern,M&A,$1M to $10M,11-50,48.1374,11.5755,2.0,['Information Technology'],Technology and Software,-1,1,0,0,1,0,0,8.0,2021,2022.0,2024.0,,8.0,1.0,1,1,1,1,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,4000000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,Seed,4000000.0,,4.0,16000000.0,41,1
755,secfix,Private,4.0,For Profit,"16,151",Active,"Information Technology, Other, Privacy and Security, Professional Services",11-50,,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,4.0,"['Information Technology', ' Other', ' Privacy and Security', ' Professional Services']",Technology and Software,-1,1,1,1,1,1,1,8.0,2021,2023.0,,,3.0,2.0,0,1,1,1,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,700000.0,3800000.0,,,,,,,5.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,Seed,3800000.0,,4.0,18000000.0,38,1
757,nuvo,Private,2.0,For Profit,"17,349",Active,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Software",11-50,$1M to $10M,,,Hamburg, Hamburg,Seed,$1M to $10M,11-50,53.5511,9.9937,2.0,"['Artificial Intelligence (AI)', ' Data and Analytics', ' Information Technology', ' Other', ' Software']",Technology and Software,-1,1,0,1,1,0,0,0,2020,2023.0,,,6.0,2.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1600000.0,3000000.0,,,,,,,1.875,0.0,0.0,0.0,0.0,0.0,0.0,4979789.0,Seed,3239548.0,,4.0,19919156.0,44,0
758,tomorrow university of applied sciences,Private,3.0,For Profit,"17,538",Active,"Education, Software",51-100,,,,Berlin, Berlin,Early Stage Venture,$10M to $50M,51-100,52.52,13.405,3.0,"['Education', ' Software']",Education and Training,-1,1,0,1,1,1,1,8.0,2020,2023.0,,,15.0,3.0,0,1,1,1,2.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1100000.0,3400000.0,9300000.0,,,,,,3.090909090909091,2.735294117647059,0.0,0.0,0.0,0.0,0.0,15342792.0,Series A,10155576.0,,1.5,23014188.0,43,1
763,hakuna,Private,3.0,For Profit,"20,641",Active,"Commerce and Shopping, Financial Services, Other",11-50,,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,3.0,"['Commerce and Shopping', ' Financial Services', ' Other']",Retail and E-commerce,-1,1,0,1,1,0,0,0,2021,2022.0,,,7.0,2.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1500000.0,4000000.0,,,,,,,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,5630356.0,Seed,3932579.0,,1.5,8445534.0,41,1
764,threedy,Private,4.0,For Profit,"21,290",Active,"Data and Analytics, Design, Hardware, Information Technology, Internet Services, Software",51-100,$1M to $10M,,,Darmstadt, Hessen,Early Stage Venture,$1M to $10M,51-100,49.8728,8.6512,4.0,"['Data and Analytics', ' Design', ' Hardware', ' Information Technology', ' Internet Services', ' Software']",Technology and Software,-1,1,0,1,1,1,0,7.0,2020,2024.0,,,8.0,2.0,0,1,1,1,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1800000.0,9600000.0,,,,,,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,12551623.0,Series A,10377503.0,,4.0,50206492.0,43,1
765,baobab,Private,,For Profit,"21,791",Active,"Financial Services, Information Technology, Privacy and Security",11-50,,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,1.0,"['Financial Services', ' Information Technology', ' Privacy and Security']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,0,0,1,0,0,0,2021,2023.0,,,13.0,3.0,0,1,1,1,3.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3500000.0,5000000.0,,,,,,,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,9389953.0,Grant,,,3.5,32864835.5,41,0
769,prestatech,Private,2.0,For Profit,"26,333",Active,"Financial Services, Information Technology, Lending and Investments",11-50,$1M to $10M,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,11-50,52.52,13.405,2.0,"['Financial Services', ' Information Technology', ' Lending and Investments']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,0,1,1,0,0,1.0,2021,2023.0,,,4.0,2.0,0,1,1,1,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,5000000.0,4000000.0,,,,,,0.0,0.8,0.0,0.0,0.0,0.0,0.0,10423309.0,Series A,4398959.0,,3.5,36481581.5,41,0
772,squake,Private,2.0,For Profit,"27,041",Active,"Energy, Professional Services, Sustainability",11-50,$1M to $10M,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,2.0,"['Energy', ' Professional Services', ' Sustainability']",Energy and Natural Resources,-1,1,0,1,1,0,0,12.0,2021,2023.0,,,6.0,2.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1500000.0,3500000.0,,,,,,,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5540149.0,Seed,3847083.0,,1.5,8310223.5,41,1
775,mainz biomed,Public,1.0,For Profit,"28,870",Active,"Biotechnology, Health Care, Science and Engineering",51-100,Less than $1M,,,Mainz, Rheinland-Pfalz,IPO,Less than $1M,51-100,49.9929,8.2473,1.0,"['Biotechnology', ' Health Care', ' Science and Engineering']",Healthcare and Biotechnology,-1,1,1,1,1,1,1,57.0,2021,2023.0,2021.0,,0.0,3.0,0,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77500000.0,Post-IPO Equity,5000000.0,,3.0,232500000.0,41,1
776,razor group,Private,5.0,For Profit,"29,135",Active,"Commerce and Shopping, Internet Services, Professional Services, Sales and Marketing",251-500,,,,Berlin, Berlin,Late Stage Venture,$10M to $50M,251-500,52.52,13.405,5.0,"['Commerce and Shopping', ' Internet Services', ' Professional Services', ' Sales and Marketing']",Retail and E-commerce,-1,1,0,1,1,1,1,40.0,2020,2024.0,,,16.0,12.0,0,1,1,1,5.0,0.0,0.0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,,500000.0,10000000.0,,18000000.0,100000000.0,,,0.0,20.0,0.0,0.0,5.555555555555555,0.0,0.0,1147774035.0,Series D,100000000.0,Unicorn,1.5,1721661052.5,46,1
784,automaited,Private,4.0,For Profit,"31,252",Active,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",11-50,,,,Köln, Nordrhein-Westfalen,Seed,$10M to $50M,11-50,50.9375,6.9603,4.0,"['Artificial Intelligence (AI)', ' Data and Analytics', ' Other', ' Science and Engineering', ' Software']",Technology and Software,-1,1,0,1,1,0,0,0,2021,2022.0,,,4.0,2.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,4000000.0,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5426309.0,Seed,4201460.0,,4.0,21705236.0,41,1
785,the stryze group,Private,4.0,For Profit,"31,520",Active,"Commerce and Shopping, Consumer Goods",51-100,$500M to $1B,,,Berlin, Berlin,M&A,$500M to $1B,51-100,52.52,13.405,4.0,"['Commerce and Shopping', ' Consumer Goods']",Retail and E-commerce,-1,1,1,1,1,0,1,4.0,2020,2021.0,2023.0,,2.0,1.0,1,1,1,1,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,Private Equity,100000000.0,,1.5,150000000.0,42,1
792,pionix,Private,5.0,For Profit,"34,244",Active,"Energy, Software, Transportation",11-50,$1M to $10M,,,Bruchsal, Baden-Wurttemberg,Seed,$1M to $10M,11-50,49.124119,8.598024,5.0,"['Energy', ' Software', ' Transportation']",Energy and Natural Resources,-1,1,1,1,1,1,1,0,2021,2023.0,,,9.0,3.0,0,1,1,1,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1300000.0,4300000.0,,,,,,,3.3076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,6244491.0,Seed,4648648.0,,1.5,9366736.5,39,1
793,reflex aerospace,Private,1.0,For Profit,"34,307",Active,"Hardware, Science and Engineering, Transportation",11-50,$10M to $50M,,,Berlin, Berlin,Seed,$10M to $50M,11-50,52.52,13.405,1.0,"['Hardware', ' Science and Engineering', ' Transportation']",Hardware and Electronics,-1,1,0,1,1,1,0,1.0,2021,2023.0,,,4.0,3.0,0,1,1,1,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1500000.0,1750000.0,,,,,,,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,11053402.0,Seed,1902862.0,,4.0,44213608.0,41,0
798,arab therapy,Private,,For Profit,"36,071",Active,Health Care,51-100,,,,Berlin, Berlin,Seed,Less than $1M,51-100,52.52,13.405,1.0,['Health Care'],Healthcare and Biotechnology,-1,1,0,1,1,1,1,8.0,2021,2024.0,,,2.0,5.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,65000.0,1000000.0,,,,,,,15.384615384615383,0.0,0.0,0.0,0.0,0.0,0.0,1280000.0,Seed,1000000.0,,3.0,3840000.0,41,1
800,flink food,Private,5.0,For Profit,"37,240",Active,"Apps, Commerce and Shopping, Food and Beverage, Mobile, Software, Transportation",251-500,$100M to $500M,,,Berlin, Berlin,Late Stage Venture,$100M to $500M,251-500,52.52,13.405,5.0,"['Apps', ' Commerce and Shopping', ' Food and Beverage', ' Mobile', ' Software', ' Transportation']",Technology and Software,-1,1,1,1,1,1,1,6.0,2020,2024.0,,,12.0,5.0,0,1,1,1,5.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,,240000000.0,750000000.0,,,,,0.0,0.0,3.125,0.0,0.0,0.0,0.0,1310026095.0,Undisclosed,106691362.0,Unicorn,4.0,5240104380.0,44,1
801,green fusion,Private,1.0,For Profit,"37,296",Active,"Energy, Software",11-50,,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,1.0,"['Energy', ' Software']",Energy and Natural Resources,-1,1,1,1,1,0,0,1.0,2021,2023.0,,,7.0,3.0,0,1,1,1,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,225000.0,2700000.0,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3135833.0,Seed,2875883.0,,1.5,4703749.5,41,1
803,ordio,Private,2.0,For Profit,"37,874",Active,"Apps, Food and Beverage, Information Technology, Mobile, Sales and Marketing, Software, Transportation",101-250,,,,Cologne, Nordrhein-Westfalen,Seed,$1M to $10M,101-250,50.9375,6.9603,2.0,"['Apps', ' Food and Beverage', ' Information Technology', ' Mobile', ' Sales and Marketing', ' Software', ' Transportation']",Technology and Software,-1,1,0,1,1,0,0,4.0,2021,2023.0,,,10.0,2.0,0,1,1,1,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,2900000.0,,,,,,,2.9,0.0,0.0,0.0,0.0,0.0,0.0,4158367.0,Seed,3140611.0,,4.0,16633468.0,41,1
811,mondarella,Private,1.0,For Profit,"41,386",Active,Food and Beverage,11-50,,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,11-50,52.52,13.405,1.0,['Food and Beverage'],Consumer Products,-1,1,0,1,1,0,1,6.0,2021,2023.0,,,1.0,2.0,0,1,1,1,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,3000000.0,5000000.0,,,,,,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,8205698.0,Series A,5289247.0,,1.5,12308547.0,39,0
820,jokr,Private,6.0,For Profit,"45,946",Active,"Administrative Services, Commerce and Shopping, Food and Beverage, Transportation",501-1000,$100M to $500M,,2.0,Berlin, Berlin,Late Stage Venture,$100M to $500M,501-1000,52.52,13.405,6.0,"['Administrative Services', ' Commerce and Shopping', ' Food and Beverage', ' Transportation']",Business Services,-1,1,0,1,1,1,1,37.0,2021,2023.0,,,17.0,5.0,0,1,1,1,5.0,2.0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,260000000.0,50000000.0,50000000.0,,,0.0,0.0,0.0,0.1923076923076923,1.0,0.0,0.0,530000000.0,Series D,50000000.0,Emerging Unicorn,3.5,1855000000.0,41,1
821,oniq,Private,2.0,For Profit,"46,193",Active,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Software, Transportation",11-50,,,,Cologne, Nordrhein-Westfalen,Seed,$1M to $10M,11-50,50.9375,6.9603,2.0,"['Artificial Intelligence (AI)', ' Data and Analytics', ' Manufacturing', ' Software', ' Transportation']",Technology and Software,-1,1,0,1,1,1,0,5.0,2020,2022.0,,,2.0,2.0,0,1,1,1,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,425000.0,3500000.0,,,,,,,8.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,4062413.0,Seed,3563291.0,,4.0,16249652.0,45,1
822,doctorflix,Private,2.0,For Profit,"46,435",Active,"Education, Health Care, Information Technology",11-50,,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,2.0,"['Education', ' Health Care', ' Information Technology']",Education and Training,-1,1,0,0,1,0,1,1.0,2021,2023.0,,,10.0,2.0,0,1,1,1,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,625000.0,2000000.0,,,,,,,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2882040.0,Seed,2191509.0,,1.5,4323060.0,41,1
823,robco,Private,3.0,For Profit,"47,570",Active,"Hardware, Information Technology, Manufacturing, Science and Engineering, Software",51-100,,,,München, Bayern,Early Stage Venture,$1M to $10M,51-100,48.1374,11.5755,3.0,"['Hardware', ' Information Technology', ' Manufacturing', ' Science and Engineering', ' Software']",Hardware and Electronics,-1,1,0,1,1,0,0,1.0,2020,2024.0,,,8.0,3.0,0,1,1,1,3.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,14000000.0,43000000.0,,,,,0.0,0.0,3.071428571428572,0.0,0.0,0.0,0.0,60500000.0,Series B,43000000.0,,4.0,242000000.0,43,1
826,charly,Private,7.0,For Profit,"48,224",Active,"Administrative Services, Information Technology, Professional Services, Software, Travel and Tourism",11-50,$1M to $10M,,,Berlin, Berlin,M&A,$1M to $10M,11-50,52.52,13.405,7.0,"['Administrative Services', ' Information Technology', ' Professional Services', ' Software', ' Travel and Tourism']",Business Services,-1,1,0,0,1,0,1,1.0,2020,2022.0,2023.0,,1.0,2.0,1,1,1,1,1.0,0.0,0.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1100000.0,2500000.0,3100000.0,,,,,,2.272727272727273,1.24,0.0,0.0,0.0,0.0,0.0,1553523.0,Pre-Seed,1053523.0,,3.5,5437330.5,44,1
835,mondu,Private,4.0,For Profit,"53,144",Active,"Financial Services, Other, Payments, Software",101-250,$1M to $10M,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,101-250,52.52,13.405,4.0,"['Financial Services', ' Other', ' Payments', ' Software']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,1,1,1,0,0,94.0,2021,2024.0,,,5.0,5.0,0,1,1,1,4.0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,,14000000.0,13000000.0,,,,,,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,122141724.0,Debt Financing,32536902.0,,3.5,427496034.0,41,0
845,bits&birds,Private,4.0,For Profit,"58,091",Active,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",51-100,,,,Hamburg, Hamburg,Seed,$1M to $10M,51-100,53.5511,9.9937,4.0,"['Administrative Services', ' Artificial Intelligence (AI)', ' Data and Analytics', ' Professional Services', ' Science and Engineering', ' Software']",Business Services,-1,1,1,1,1,1,1,0,2020,2023.0,,,1.0,2.0,0,1,1,1,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50000.0,850000.0,,,,,,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,989584.0,Seed,933144.0,,3.5,3463544.0,47,1
847,denario,Private,,For Profit,"60,082",Active,"Financial Services, Payments",11-50,,,,Berlin, Berlin,M&A,Less than $1M,11-50,52.52,13.405,1.0,"['Financial Services', ' Payments']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,0,1,1,1,0,0,2021,2022.0,2023.0,,3.0,1.0,1,1,1,1,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1800000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039454.0,Seed,2039454.0,,3.5,7138089.0,41,1
850,360x,Private,3.0,For Profit,"63,484",Active,"Commerce and Shopping, Financial Services",11-50,$1M to $10M,,,Frankfurt, Hessen,M&A,$1M to $10M,11-50,50.110924,8.682127,3.0,"['Commerce and Shopping', ' Financial Services']",Retail and E-commerce,-1,1,0,0,1,1,0,2.0,2021,2021.0,,,2.0,1.0,0,1,1,1,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12125621.0,Venture - Series Unknown,12125621.0,,1.5,18188431.5,41,1
856,dropp,Private,4.0,For Profit,"66,349",Active,"Commerce and Shopping, Transportation",11-50,,,,Berlin, Berlin,M&A,$1M to $10M,11-50,52.52,13.405,4.0,"['Commerce and Shopping', ' Transportation']",Retail and E-commerce,-1,1,0,1,1,0,0,0,2021,2021.0,2023.0,,5.0,1.0,1,1,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369698.0,Venture - Series Unknown,2369698.0,,1.5,3554547.0,37,1
857,ostrom,Private,2.0,For Profit,"66,986",Active,"Energy, Sustainability",11-50,$10M to $50M,,,Berlin, Berlin,Early Stage Venture,$10M to $50M,11-50,52.52,13.405,2.0,"['Energy', ' Sustainability']",Energy and Natural Resources,-1,1,0,1,1,1,1,52.0,2021,2023.0,,,7.0,5.0,0,1,1,1,4.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,4800000.0,8000000.0,,,,,,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,22800000.0,Series A,8000000.0,,1.5,34200000.0,41,0
858,accure battery intelligence,Private,3.0,For Profit,"66,999",Active,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",51-100,$500M to $1B,,,Aachen, Nordrhein-Westfalen,Early Stage Venture,$500M to $1B,51-100,50.7753,6.0839,3.0,"['Artificial Intelligence (AI)', ' Data and Analytics', ' Energy', ' Science and Engineering', ' Software', ' Sustainability']",Technology and Software,-1,1,0,1,1,0,0,13.0,2020,2023.0,,,5.0,3.0,0,1,1,1,3.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,2300000.0,7200000.0,,,,,,0.0,3.130434782608696,0.0,0.0,0.0,0.0,0.0,18494830.0,Series A,7809483.0,,4.0,73979320.0,47,1
