,Organization Name,IPO Status,Number of Founders,Company Type,CB Rank (Company),Operating Status,Industry Groups,Number of Employees,Estimated Revenue Range,Number of Exits,Number of Sub-Orgs,city,state,funding_status,revenue_range,no_employees,lat,lon,no_founders,industry,industry_groups,industry_groups_andreas,website,phone,email,linkedin,twitter,facebook,articles,founded_year,last_funding_year,exit_year,closed_year,no_investors,no_fund_rounds,acquired,private_ipo,company_type,operting_status,no_lead_investors,no_sub_orgs,no_exits,has_preseed,has_seed,has_series_a,has_series_b,has_series_c,has_series_d,has_series_e,has_angel,has_debt_financing,has_grant,has_corporate_round,has_series_x,has_ico,has_other_funding,preseed_fund,seed_fund,series_a_fund,series_b_fund,series_c_fund,series_d_fund,series_e_fund,private_equity_fund,seed_to_pre_ratio,a_to_seed_ratio,b_to_a_ratio,c_to_b_ratio,d_to_c_ratio,e_to_d_ratio,pe_to_e_ratio,total_funding_usd,last_funding_type,last_funding_amount,hub_tags,industry_multiples,company_valuation,months_since_founded,y
56,pincamp,Private,1.0,For Profit,"20,470",Active,"Commerce and Shopping, Community and Lifestyle, Travel and Tourism",11-50,$1M to $10M,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,11-50,52.52,13.405,1.0,"['Commerce and Shopping', ' Community and Lifestyle', ' Travel and Tourism']",Retail and E-commerce,-1,1,0,1,1,1,1,0,2017,2024.0,,,0.0,3.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,5500000.0,8000000.0,6600000.0,,,,,0.0,1.4545454545454546,0.825,0.0,0.0,0.0,0.0,22754199.0,Series B,7284173.0,,1.5,34131298.5,80,0
62,expertlead,Private,2.0,For Profit,"22,434",Active,"Administrative Services, Information Technology, Professional Services, Sales and Marketing",101-250,$1M to $10M,,,Berlin, Berlin,M&A,$1M to $10M,101-250,52.52,13.405,2.0,"['Administrative Services', ' Information Technology', ' Professional Services', ' Sales and Marketing']",Business Services,-1,1,1,1,1,1,1,73.0,2018,2021.0,2023.0,,5.0,3.0,1,1,1,1,1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,7000000.0,9500000.0,,,,,0.0,0.0,1.3571428571428572,0.0,0.0,0.0,0.0,19238369.0,Series B,11280423.0,,3.5,67334291.5,77,1
63,caya,Private,3.0,For Profit,"23,282",Active,"Information Technology, Other, Software",51-100,,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,51-100,52.52,13.405,3.0,"['Information Technology', ' Other', ' Software']",Technology and Software,-1,1,0,1,1,1,1,27.0,2017,2023.0,,,6.0,3.0,0,1,1,1,3.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2000000.0,2500000.0,,,,,,,1.25,0.0,0.0,0.0,0.0,0.0,0.0,11453945.0,Venture - Series Unknown,6473783.0,,4.0,45815780.0,81,0
66,elucidate,Private,2.0,For Profit,"24,575",Active,"Financial Services, Government and Military, Information Technology, Other, Professional Services",11-50,$1M to $10M,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,2.0,"['Financial Services', ' Government and Military', ' Information Technology', ' Other', ' Professional Services']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,0,1,1,1,0,15.0,2018,2022.0,,,11.0,4.0,0,1,1,1,3.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,700000.0,8000000.0,,,,,,,11.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,14594162.0,Seed,8000000.0,,3.5,51079567.0,76,1
69,genesis cloud,Private,3.0,For Profit,"25,416",Active,"Hardware, Internet Services, Software",11-50,$1M to $10M,,,Munich, Bayern,Seed,$1M to $10M,11-50,48.1374,11.5755,3.0,"['Hardware', ' Internet Services', ' Software']",Hardware and Electronics,-1,1,0,1,1,1,0,11.0,2018,2020.0,,,0.0,2.0,0,1,1,1,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2500000.0,4100000.0,,,,,,,1.64,0.0,0.0,0.0,0.0,0.0,0.0,6600000.0,Seed,4100000.0,,4.0,26400000.0,77,0
70,choco,Private,3.0,For Profit,"25,465",Active,"Apps, Food and Beverage, Sales and Marketing, Software",251-500,$50M to $100M,,,Berlin, Berlin,Late Stage Venture,$50M to $100M,251-500,52.52,13.405,3.0,"['Apps', ' Food and Beverage', ' Sales and Marketing', ' Software']",Technology and Software,-1,1,1,1,1,1,1,27.0,2018,2023.0,,,13.0,7.0,0,1,1,1,5.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,,30200000.0,111000000.0,,,,,0.0,0.0,3.6754966887417218,0.0,0.0,0.0,0.0,336269652.0,Venture - Series Unknown,26461774.0,Unicorn,4.0,1345078608.0,77,1
72,myos,Private,5.0,For Profit,"26,907",Active,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Other, Software",11-50,Less than $1M,,,Berlin, Berlin,Early Stage Venture,Less than $1M,11-50,52.52,13.405,5.0,"['Artificial Intelligence (AI)', ' Commerce and Shopping', ' Data and Analytics', ' Financial Services', ' Other', ' Software']",Technology and Software,-1,1,1,1,1,1,1,8.0,2018,2022.0,,,12.0,9.0,0,1,1,1,5.0,0.0,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1720000.0,1765000.0,,,,,,,1.0261627906976745,0.0,0.0,0.0,0.0,0.0,0.0,44378051.0,Non-equity Assistance,,,4.0,177512204.0,75,0
74,aifora,Private,2.0,For Profit,"27,724",Active,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Other, Science and Engineering, Software",11-50,$1M to $10M,,,Düsseldorf, Nordrhein-Westfalen,M&A,$1M to $10M,11-50,51.2217,6.7762,2.0,"['Artificial Intelligence (AI)', ' Commerce and Shopping', ' Data and Analytics', ' Hardware', ' Other', ' Science and Engineering', ' Software']",Technology and Software,-1,1,1,1,1,1,1,5.0,2018,2021.0,2023.0,,3.0,2.0,1,1,1,1,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,3000000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11940968.0,Series A,8510421.0,,4.0,47763872.0,76,1
75,mobius labs,Private,3.0,For Profit,"28,048",Active,Information Technology,11-50,$1M to $10M,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,11-50,52.52,13.405,3.0,['Information Technology'],Technology and Software,-1,1,0,1,1,1,0,6.0,2018,2021.0,,,11.0,3.0,0,1,1,1,3.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1125000.0,5200000.0,,,,,,0.0,4.622222222222222,0.0,0.0,0.0,0.0,0.0,7299144.0,Series A,6174144.0,,4.0,29196576.0,77,1
80,femtasy,Private,2.0,For Profit,"29,389",Active,"Community and Lifestyle, Hardware, Media and Entertainment, Music and Audio, Other, Software",11-50,$1M to $10M,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,2.0,"['Community and Lifestyle', ' Hardware', ' Media and Entertainment', ' Music and Audio', ' Other', ' Software']",Community and Lifestyle,-1,1,0,1,1,0,1,10.0,2018,2022.0,,,7.0,4.0,0,1,1,1,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,410000.0,2450000.0,,,,,,,5.975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,3548335.0,Non-equity Assistance,,,1.5,5322502.5,77,1
